"age"	"group"	"cause"	"prop"
20	"F"	"CA"	0.2468
20	"F"	"Fa"	0.0116
20	"F"	"H"	0.0193
20	"F"	"MO"	0.0475
20	"F"	"MP"	0.068
20	"F"	"NW"	0.192
20	"F"	"PP"	0.0098
20	"F"	"Sa"	0.1352
20	"F"	"Se"	0.2445
20	"F"	"Te"	0.0218
20	"F"	"Tr"	0.0035
30	"F"	"CA"	0.2391
30	"F"	"Fa"	0.008
30	"F"	"H"	0.0159
30	"F"	"MO"	0.0533
30	"F"	"MP"	0.2188
30	"F"	"NW"	0.1627
30	"F"	"PP"	0.017
30	"F"	"Sa"	0.0882
30	"F"	"Se"	0.1527
30	"F"	"Te"	0.0401
30	"F"	"Tr"	0.0041
40	"F"	"CA"	0.2055
40	"F"	"Fa"	0.0073
40	"F"	"H"	0.0167
40	"F"	"MO"	0.0414
40	"F"	"MP"	0.3141
40	"F"	"NW"	0.1298
40	"F"	"PP"	0.0215
40	"F"	"Sa"	0.0745
40	"F"	"Se"	0.1418
40	"F"	"Te"	0.0359
40	"F"	"Tr"	0.0114
20	"M"	"CA"	0.0814
20	"M"	"Fa"	0.0553
20	"M"	"H"	0.1271
20	"M"	"MO"	0.0896
20	"M"	"MP"	0.061
20	"M"	"NW"	0.1295
20	"M"	"PP"	0.1399
20	"M"	"Sa"	0.0693
20	"M"	"Se"	0.1712
20	"M"	"Te"	0.0203
20	"M"	"Tr"	0.0552
30	"M"	"CA"	0.0703
30	"M"	"Fa"	0.0371
30	"M"	"H"	0.0612
30	"M"	"MO"	0.0791
30	"M"	"MP"	0.2012
30	"M"	"NW"	0.0681
30	"M"	"PP"	0.2086
30	"M"	"Sa"	0.082
30	"M"	"Se"	0.0885
30	"M"	"Te"	0.0433
30	"M"	"Tr"	0.0611
40	"M"	"CA"	0.0469
40	"M"	"Fa"	0.029
40	"M"	"H"	0.045
40	"M"	"MO"	0.0684
40	"M"	"MP"	0.3022
40	"M"	"NW"	0.0446
40	"M"	"PP"	0.1976
40	"M"	"Sa"	0.0805
40	"M"	"Se"	0.0797
40	"M"	"Te"	0.0338
40	"M"	"Tr"	0.0728
